Lemma	Occorrenze	Presente in VdB 1980	Presente in VdB 2016
capire	100	1	1
ostinazione	5	0	0
celare	3	0	1
qualcosa	37	1	1
fondo	24	1	1
uomo	73	1	1
noioso	5	1	1
certo	131	1	1
cattivo	3	1	1
vita	62	1	1
dominare	9	1	1
pensiero	34	1	1
stonare	2	1	1
spesso	13	1	1
succedere	17	1	1
epoca	8	1	1
trapasso	2	0	0
agitazione	1	1	1
molto	71	1	1
comunicare	4	1	1
bisogno	29	1	1
agitare	9	1	1
loro	171	1	1
incontrario	1	0	0
strada	35	1	1
bollire	1	1	0
pentola	2	1	1
vantare	5	1	1
pretendere	10	1	1
titolo	9	1	1
duca	5	0	0
pensare	55	1	1
ad	91	0	0
genealogia	1	0	0
successione	2	1	1
rivalità	1	0	0
alleanza	3	1	1
potentato	1	0	0
vicino	50	1	1
lontano	31	1	1
perciò	11	1	1
vivere	47	1	1
prova	13	1	1
generale	11	1	1
invito	3	1	1
sapere	176	1	1
quella	42	0	0
Imperatrice	1	0	0
Austria	2	0	0
Re	5	0	0
magari	11	1	1
montanaro	1	0	0
Torino	1	0	0
servire	23	1	1
tacchino	3	1	1
guatare	1	0	0
lo	190	0	1
scalcare	1	0	0
spolpare	2	0	0
secondo	14	1	1
regola	8	1	1
reale	5	1	1
quasi	56	1	1
ne	134	1	1
assaggiare	3	1	1
cogliere	12	1	1
fallo	2	0	0
dovere	125	1	1
tenere	107	1	1
bordone	1	0	0
rimbrotto	1	0	0
poi	160	1	1
scoprire	22	1	1
animo	20	1	1
falso	2	1	1
sparire	22	1	1
cosciotto	1	0	0
intero	6	1	1
sotto	89	1	1
falde	2	0	0
zimarra	7	0	0
mangiarseli	1	0	0
morso	7	1	1
piacere	40	1	1
nascosto	10	0	1
vigna	13	1	1
giurare	6	1	1
sebbene	14	1	1
sul	263	0	0
fatto	22	1	1
lesto	4	0	0
tasca	4	1	1
pieno	31	1	1
ossicino	1	0	0
posto	35	1	1
quarto	3	1	1
sano	4	1	1
sani	1	0	0
contare	9	1	1
usare	12	1	1
brusco	5	1	0
modo	40	1	1
militare	8	1	1
So	1	0	0
Noch	1	0	0
ein	1	0	0
wenig	1	0	0
Gut	1	0	0
