Lemma	Occorrenze	Presente in VdB 1980	Presente in VdB 2016
resistere	6	1	1
legno	7	1	1
dolce	3	1	1
punta	15	1	1
scarpa	3	1	1
sbucciare	2	1	1
aprire	22	1	1
ferita	1	1	1
avvolgere	10	1	1
profumo	4	1	1
fresco	9	1	1
pagina	13	1	1
verdeggiare	1	0	0
brillante	2	0	1
odorare	2	1	1
irregolarmente	1	0	0
olfatto	1	0	0
discernere	1	0	0
varo	5	0	0
aroma	2	0	1
noto	9	1	1
giungere	27	1	1
fin	29	0	0
segreto	22	1	1
fronda	18	0	0
nuovo	56	1	1
quali	10	0	0
lustro	1	0	0
correggere	3	1	1
velo	6	1	1
minuscolo	2	1	1
pennate	1	0	0
troncare	3	0	0
liscio	3	1	1
scaglia	3	0	0
silenzio	11	1	1
levare	28	1	1
luì	2	0	0
oh	19	0	0
ba-lançoire	1	0	0
appendere	28	1	1
dondolare	3	1	1
altalena	27	1	1
bambina	33	1	1
dieci	4	1	1
biondo	16	1	1
pettinatura	2	0	1
buffa	1	0	0
bimba	1	0	1
azzurro	4	1	1
troppo	29	1	1
gonna	5	1	1
sollevato	3	0	0
traboccare	1	1	1
trina	2	1	1
socchiudere	5	0	0
vezzo	2	0	0
dama	8	1	0
mela	12	1	1
piegare	6	1	1
fune	12	1	1
spinto	5	0	0
colpire	4	1	1
scarpino	1	0	0
terreno	14	1	1
punto	38	1	1
basso	26	1	1
arco	1	1	1
soffiare	5	1	1
labbro	13	1	1
frammento	3	1	1
buccia	2	1	1
morsicare	1	0	1
ba-la	1	0	0
nçoire	1	0	0
ragazzina	11	0	0
canzone	2	1	1
cima	51	1	1
piede	58	1	1
piantare	5	1	1
appoggiare	6	1	1
attento	8	1	1
Tutt'	4	0	0
tratto	28	1	1
ritto	7	1	1
rotolare	4	1	1
sguainare	7	0	0
abbassare	8	1	1
infilzare	4	0	0
porgere	16	1	1
frattempo	3	1	0
percorso	6	0	1
completo	2	1	1
sporcare	1	1	1
ammaccare	1	1	1
pentire	1	0	0
mostrare	18	1	1
stupore	2	1	1
ragazzetto	1	0	0
sconosciuto	3	1	1
riprendere	18	1	1
sussiegoso	3	0	0
ladro	12	1	1
contrario	6	1	1
rubare	7	1	1
mente	19	1	1
fame	6	1	1
lama	8	1	1
dispetto	6	1	1
divieto	1	0	1
affilato	1	0	1
ragazza	14	1	1
masnada	1	0	0
siepe	9	1	1
saccheggiare	4	1	1
frutteto	8	1	0
genìa	4	0	0
insegnare	9	1	1
disprezzare	5	1	0
sfuggire	9	1	1
liberare	8	1	1
invidiabile	1	0	0
diventare	37	1	1
avanti	21	1	1
tagliare	10	1	1
spiccare	6	1	1
masticare	2	1	1
scoppiare	14	1	1
risata	5	1	1
durare	6	1	1
amico	26	1	1
quelli	33	0	0
scalzi	1	0	0
manica	1	1	1
camicia	4	1	1
spettinare	3	1	1
parrucchino	1	0	0
incipriatura	1	0	0
affatto	4	1	1
giudicato	1	0	0
aspetto	6	1	1
inferiore	1	1	1
damigella	2	0	0
padrona	2	1	1
amica	7	1	0
riempire	11	1	1
vergogna	5	1	1
parrucchin	1	0	0
canterellare	3	0	0
ripicco	1	0	0
orgoglio	4	1	1
voi	40	1	1
spaventare	9	1	1
serio	5	1	1
brigante	30	1	1
terribile	9	1	1
volare	30	1	1
sfiorare	6	1	1
spingarda	2	0	0
cinque	5	1	1
carrozza	21	1	0
viaggio	20	1	1
spada	24	1	1
stringere	10	1	1
II	16	0	0
spiegare	18	1	1
Gian	71	0	0
Brughi	70	0	0
dei	4	0	0
regalo	3	1	1
Natale	1	0	0
Pasqua	1	0	0
ah	51	0	0
ondata	1	0	1
faziosità	1	0	0
protettore	2	1	0
brigantaggio	1	1	1
contrabbando	2	1	1
zona	5	1	1
spinta	7	1	1
rapido	15	1	1
sgambettio	1	0	0
corda	22	1	1
Scendete	1	0	0
permesso	2	1	1
entrare	27	1	1
indire	2	0	0
incattivire	1	0	0
pario	5	0	0
calore	3	1	1
calma	6	1	1
ventaglio	4	1	1
posare	16	1	1
poltrona	5	1	1
vimini	3	0	0
caldo	9	1	1
passeggiare	2	1	1
indietro	8	1	1
bastonare	2	1	1
tono	10	1	1
proclamare	7	1	1
tentazione	2	1	1
Duca	4	0	0
territorio	16	1	1
ripetere	14	1	1
giusto	15	1	1
fissazione	2	0	0
millantare	1	0	0
smentire	2	1	1
discorso	17	1	1
ripetè	2	0	0
suolo	5	1	1
quassù	7	1	0
dappertutto	9	1	1
tuo	23	1	1
personale	4	1	1
vago	1	1	1
cielo	29	1	1
Di'	9	0	0
rodomontate	1	0	0
aspettare	38	1	1
imprevedibilmente	3	0	0
interessato	4	0	1
oltre	12	1	1
nell'	33	0	0
collina	5	1	1
bosco	90	1	1
Polonia	1	0	0
Sassonia	1	0	0
geografia	1	1	0
nome	28	1	1
parlare	46	1	1
egoista	1	1	0
te	22	1	1
invitare	15	1	1
tu	42	1	1
tua	2	0	0
stabilire	10	1	1
siccome	3	1	1
legare	27	1	1
dipendere	2	1	1
me.	3	0	0
afferrare	12	1	1
no.	10	0	0
Violante	4	0	0
Viola	70	0	0
Mino	6	0	0
patto	3	1	1
chiaro	13	1	1
ospite	3	1	1
sacro	2	1	1
entro	3	1	1
inviolabile	1	0	0
schiavo	5	1	1
incatenare	2	1	1
nemmeno	18	1	1
nemico	15	1	1
ugualmente	4	0	1
Biagio	4	0	0
vigliacco	2	1	0
ridurre	9	1	1
abitante	5	1	1
Lascia	1	0	0
signoria	2	0	0
regno	5	1	1
spezzare	7	1	1
casco	2	1	1
cenere	2	1	1
sei	3	1	1
sederti	2	0	0
nodo	5	1	1
urtare	1	1	1
aggrappare	13	0	0
esercizio	4	1	1
palestra	1	1	1
sciogliere	4	1	1
ginocchio	15	1	1
scattare	2	1	1
senso	16	1	1
provare	15	1	1
darti	1	0	0
insinuare	2	1	1
sberleffo	1	0	0
Vieni	2	0	0
sorridere	8	1	1
gentile	4	1	1
nessun	9	0	0
costo	5	1	1
ricominciare	3	1	1
leggero	8	1	1
uh	3	0	0
sedile	1	1	1
rovesciare	2	1	1
fortuna	7	1	1
saldo	2	1	0
altrimenti	4	1	1
piombare	5	0	0
salame	3	1	1
Traditrice	1	0	0
salita	5	1	1
discesa	2	1	1
maligno	4	1	0
finalmente	19	0	1
cavalcioni	8	0	0
asciugare	2	1	1
sudore	1	1	1
viso	47	1	1
Credevi	1	0	0
sventagliare	2	0	0
prorompere	4	0	0
acuto	7	0	1
femminile	2	1	1
signora	10	1	1
magro	3	1	1
largo	19	1	1
occhialino	3	0	0
ritrarre	2	1	1
intimidire	4	1	1
giovane	20	1	1
nascere	6	1	1
incantesimo	2	0	0
domandare	14	1	1
zia	19	1	1
scrutare	2	1	0
avvicinare	14	1	1
contemplare	4	0	1
strano	17	1	1
pappagallo	2	1	1
mais	6	0	1
est	9	1	1
des	4	0	0
Piovasques	1	0	0
jeune	1	0	0
homme	2	0	0
je	6	0	0
crois	1	0	0
Viens	1	0	0
avvampare	1	0	0
umiliazione	3	1	0
riconoscere	20	1	1
richiamare	3	1	1
fermezza	1	1	0
docile	1	1	1
richiamo	7	1	1
sottintendere	1	0	0
ch'	6	0	0
persona	27	1	1
esistere	4	1	1
straordinario	2	1	1
sprofondare	5	1	1
nube	4	0	1
ripungere	1	0	0
signorino	3	0	0
favorire	1	1	1
tazza	1	1	1
cioccolata	1	1	0
conoscenza	1	1	1
occhiata	4	1	1
sbieco	1	0	0
visto	2	0	0
nipote	2	1	1
tondo	4	1	1
battere	22	1	1
trasformare	2	1	1
rivincita	1	1	1
vendicare	1	1	1
avversario	2	1	1
intercedere	1	0	0
ufficialmente	1	0	1
accettare	8	1	1
sentimento	13	1	1
opposto	7	1	1
confuso	8	1	1
timidezza	2	1	1
solitudine	1	1	1
puntiglio	1	1	1
contrasto	2	1	1
frondosa	1	0	0
disparve	1	0	0
tonfo	4	0	0
fruscio	3	1	1
decidere	14	1	1
Macché	7	0	0
oscillare	2	1	1
Vedendomi	1	0	0
contrariato	2	0	0
arrabbiare	5	1	0
tacca	1	1	1
rivolgere	16	1	1
scalfire	1	0	0
agro	2	0	0
fico	15	1	0
T'	2	0	0
scostante	1	0	0
inghiottire	3	1	0
saliva	3	1	1
fretta	7	1	1
lezione	8	1	1
sera	20	1	1
mamma	9	1	1
babbo	3	1	1
rimpiattare	1	0	0
meditare	2	1	1
malfatto	1	0	0
chiedere	32	1	1
enunciare	1	0	0
convenire	1	1	1
rassicurare	1	1	1
avervi	1	0	0
trasgredire	1	0	0
insistere	4	1	1
richiesta	2	1	1
spiegazione	4	1	1
rispondere	41	1	1
America	3	0	0
alcun	20	0	0
comunicarmi	1	0	0
scoperta	3	1	1
Troncò	1	0	0
comunque	10	1	1
spassare	2	0	1
portamici	1	0	0
schifoso	1	1	0
ingozzare	1	0	0
dimmi	8	0	0
procurare	10	1	1
passaggio	8	1	1
carrucola	1	0	0
gancio	2	1	1
chiodo	3	1	1
gru	1	0	1
trasportare	7	1	1
canna	8	1	1
costruire	12	1	1
capannuccia	1	0	0
caso	22	1	1
scegliere	11	1	1
recapito	1	0	0
quercia	22	1	1
cava	1	1	0
cestino	2	0	1
perdonare	6	1	1
aiutarmi	1	0	0
fìnta	2	0	0
obbligare	7	1	1
merenda	2	1	1
tramonto	7	1	1
cena	4	1	1
buio	15	1	1
insomma	22	1	1
limite	2	1	1
proporzione	1	1	1
atto	2	1	1
simile	6	1	1
persuadere	2	1	0
premura	1	0	0
informare	6	1	1
combinare	3	1	1
svignarmela	1	0	0
colto	1	0	1
confabulare	2	0	0
punizione	1	1	1
leggere	36	1	1
ombra	29	1	1
codardia	1	0	0
tornare	59	1	1
buon	4	0	0
capitozzato	1	0	0
mento	5	1	1
stinco	2	1	1
minare	1	0	0
fece	2	0	0
fiato	4	1	1
fetta	1	1	1
crema	1	1	1
cioccolato	1	1	1
dev'	2	0	0
essersi	5	0	0
camera	5	1	1
bile	1	0	0
carezzare	5	0	0
Va'	2	0	0
digli	1	0	0
mordicchiare	4	0	0
coperto	8	0	1
farti	1	0	0
portamela	1	0	0
dinanzi	1	1	0
capolino	2	0	0
volteggiare	2	0	0
aquilone	3	1	1
apparecchiare	2	1	1
accendere	6	1	1
morrai	1	0	0
lato	2	1	1
ciondoloni	2	0	0
giudizio	2	1	1
questione	6	1	1
oooh	1	0	0
robusto	3	1	1
cento	4	1	1
tradire	4	1	1
riguardo	3	1	1
invidia	2	1	0
abituare	3	1	1
stranezza	5	1	0
qualcuno	16	1	1
mordere	5	1	1
unghia	4	1	1
dito	12	1	1
rovescio	1	1	1
soldato	15	1	1
Slavonia	1	0	0
Pomerania	1	0	0
avvistare	2	0	0
evitare	4	1	1
imboscato	1	0	0
smarrire	4	1	0
materno	4	1	1
riportare	9	1	1
clima	2	1	1
favorito	1	0	0
comportamento	2	1	1
divenire	4	1	1
tranquillo	4	1	1
fiero	5	1	1
retta	4	1	1
tranne	9	1	1
assentire	3	0	0
gravità	2	0	1
guerresco	1	0	0
parallelo	1	1	1
trarre	9	1	1
qualsiasi	6	1	1
argomento	3	1	1
sgombrare	6	1	0
responsabilità	1	1	1
preoccupazione	5	1	1
orario	1	1	1
soddisfazione	4	1	1
stanchezza	3	1	1
scomodità	2	0	0
snidare	2	0	0
ognuno	13	1	1
quartiere	1	1	1
facciata	1	1	1
acceso	2	0	1
riquadro	1	0	0
impannate	1	0	0
nostalgia	6	1	1
pernottare	1	0	0
sereno	3	1	1
indovinare	5	1	1
rannicchiare	8	0	0
incavo	2	0	0
luna	18	1	1
tardi	7	1	1
risplendere	1	1	1
cincie	1	0	0
attraversare	13	1	1
remoto	1	1	1
mugghiare	2	0	0
frastagliare	2	0	0
respiro	4	1	1
alveo	1	0	0
affidare	1	1	1
esso	7	1	1
intorno	51	1	1
oggetto	7	1	1
abbracciare	10	1	1
minuta	1	0	0
galleria	1	1	1
larva	2	0	0
spegnere	4	1	1
lettino	1	0	0
intatto	2	1	1
fuor	5	0	0
rivoltare	1	1	1
lenzuolo	14	1	1
avvertire	10	1	1
gioia	7	1	1
nudo	12	1	1
disagio	5	1	1
allacciare	1	1	1
potersi	1	0	0
girare	23	1	1
rotta	8	0	1
abbandonato	2	0	1
coscienza	4	1	1
pulito	3	0	1
materasso	2	1	1
morbido	4	1	1
proiettare	4	1	1
richiudere	1	1	1
libro	48	1	1
antico	7	1	1
scimmia	4	1	1
Roma	1	0	0
Spagna	6	0	0
fitti	4	0	0
golfo	3	1	0
valle	12	1	1
cresta	1	1	0
monte	4	1	1
nominare	5	1	1
contrada	1	0	0
Francesi	6	0	0
prato	39	1	1
falciare	2	0	0
ricrescere	2	0	0
Napoleone	16	0	0
smettere	5	1	1
dovunque	2	0	0
vegetazione	7	1	0
contorcere	4	0	0
ingombrare	1	1	0
orto	10	1	1
cupola	2	0	0
pesante	4	0	1
ciliegio	14	1	1
bruno	2	1	0
cotogni	1	0	0
pescare	6	1	1
mandorli	3	0	0
pero	2	0	1
prodigare	2	0	0
susini	3	0	0
sorbi	1	0	0
noce	18	1	0
annoso	1	0	0
grigio-argento	1	0	0
nuvola	13	1	1
sbiocca	1	0	0
costa	8	1	1
paese	16	1	1
accatastare	1	0	0
rocca	1	1	1
leccio	10	1	1
platano	16	1	1
roveri	3	0	0
disinteressato	1	1	0
altera	1	0	0
sfogo	2	1	1
ordinare	5	1	1
cinto	1	0	0
cancello	3	1	1
olivo	16	1	0
pino	23	1	0
regnare	1	1	1
plaga	1	0	0
infiltrare	1	0	0
ciuffo	4	1	1
versante	2	0	0
spiaggia	7	1	1
larice	1	0	0
frequente	2	1	1
sembrare	18	1	1
pregiato	3	1	1
vittima	2	1	1
scura	2	0	0
castagno	11	0	1
montagna	4	1	1
confine	6	1	1
universo	1	1	1
linfa	1	0	1
accorgercene	1	0	0
Capì	1	0	0
spostarsi	1	0	0
miglio	2	1	0
impratichire	1	0	0
itinerario	5	0	0
misurare	4	1	1
distanza	6	1	1
estimo	1	0	0
tracciato	2	0	0
salto	20	1	1
accorgimento	1	0	0
alba	3	1	1
schiamazzo	1	0	0
storno	1	0	0
madido	1	0	0
rugiada	1	1	0
intirizzito	1	0	0
formicolio	1	0	0
felice	18	1	1
corona	3	1	1
fumo	8	1	1
casolari	2	0	0
ripe	2	0	0
mucchio	2	1	1
sasso	10	1	1
alzato	1	0	0
prugni	1	0	0
tarchiato	1	0	0
fogliolina	2	0	0
colore	11	1	1
accesparsi	1	0	0
lattughe	1	0	0
verze	1	0	0
semenzai	2	0	0
V	3	0	0
imbuto	1	1	1
paesaggio	3	1	1
onda	8	1	1
visibile	2	1	1
udibile	1	0	0
bastare	28	1	1
propagare	7	0	0
inquietudine	2	0	0
scoppio	5	1	0
crosciare	3	0	0
vociacce	1	0	0
infuriare	1	1	1
convergere	3	0	0
probabile	2	1	1
provenienza	1	0	1
dentato	1	0	0
veleggiare	1	0	0
distratto	4	0	1
precedenza	1	1	1
formulare	1	0	1
ciliegia	9	1	1
frondoso	2	0	0
dirigere	6	1	1
carico	9	1	1
distinguere	5	1	1
addossare	11	0	1
maturo	10	1	1
ciacc	1	0	0
palpebra	3	1	1
controcielo	1	0	0
appollaiare	10	0	0
stettero	1	0	0
zitto	8	1	1
smorzare	3	0	0
Guardalo	1	0	0
spartire	1	1	0
sfrangiare	1	0	0
cappello	13	1	1
paglia	4	1	1
alcuni	3	0	0
incappucciare	5	0	0
lacero	4	0	0
brache	3	0	0
scalzare	2	0	0
fascia	2	1	1
pezza	1	1	1
collo	18	1	1
togliere	12	1	1
banda	14	1	1
ladruncolo	6	0	0
obbedire	3	0	1
ingiunzione	1	0	0
mattino	13	1	1
ripromettere	1	0	0
fermo	13	1	1
indicandoselo	1	0	0
lanciare	11	1	1
sottovoce	2	1	0
motto	1	1	0
sputare	5	1	1
nocciolo	2	0	0
qualcuna	4	0	0
bacare	1	0	0
beccare	5	1	1
averle	1	0	0
vorticare	2	0	0
picciòlo	1	0	0
mossa	6	1	1
fromboliere	1	0	0
Uuuh	1	0	0
pendere	5	1	1
battichiappe	1	0	0
soffocare	2	1	1
riso	5	1	1
matto	14	1	1
manigoldi	1	0	0
lerciare	1	0	0
bottino	3	0	0
cappuccio	5	1	1
pestone	1	0	0
fiutare	5	1	0
pericolo	9	1	1
deridere	1	0	0
sfoderare	1	0	0
brandire	5	0	0
accartocciato	2	0	0
ladroncelli	1	0	0
disappunto	1	0	0
meraviglia	4	1	1
compare	1	0	0
insulto	1	1	1
dialettale	1	0	0
Cuiasse	1	0	0
Belinùi	1	0	0
rallegrare	1	1	1
successo	2	1	1
furia	11	1	1
scatenare	5	1	1
latrare	2	0	0
stavolta	7	1	1
bastardelli	1	0	0
forcone	2	0	0
chiasso	3	1	1
allarme	10	1	1
agricoltore	3	1	1
ergere	3	0	1
attacco	3	1	1
Stanchi	2	0	0
proprietario	8	1	1
fìttavoli	3	0	0
vallata	3	1	0
federate	1	0	0
tattica	2	0	0
furfantelli	1	0	0
scalata	1	1	1
daccapo	1	0	0
cioè	7	1	1
venuto	2	0	0
cane	46	1	1
sguinzagliare	1	0	0
abbaiare	12	1	1
rampare	7	0	0
irto	3	0	0
forca	6	1	0
fieno	1	1	1
ladruncolitre	1	0	0
quattro	13	1	1
bucare	2	1	1
tridente	2	0	0
urlare	11	1	1
sfondare	1	1	1
testata	2	0	0
fìlari	2	0	0
sbigottire	5	1	1
precedere	4	1	1
minuto	8	1	1
vagabondo	7	1	0
tonto	2	0	0
andarsene	4	0	0
penzolare	3	0	0
susino	1	1	1
ritrovare	11	1	1
penare	1	0	0
carponi	2	0	0
tortuoso	1	1	0
bisognare	17	1	1
storcere	1	1	1
rovere	1	0	0
allungare	5	1	1
inseguire	9	1	1
aggirare	2	1	1
guado	1	0	0
monello	11	0	1
cristiano	2	1	1
saltimpalo	1	0	0
vedendoselo	1	0	0
Ehi	10	0	0
dabbasso	1	0	0
pigliare	7	0	1
branco	7	0	1
assaltare	2	1	1
lavorare	5	1	1
metodo	1	1	1
intrecciare	3	1	1
picciòli	1	0	0
arroganti	1	0	0
candito	1	0	0
sbuffo	2	0	0
macchiare	1	1	0
panciotto	2	1	1
mangiagelati	5	0	0
sbaglio	2	1	1
Sinforosa	10	0	0
misterioso	6	1	1
arrossire	3	1	0
suonare	6	1	1
stamane	2	0	0
altolocato	1	0	0
sparare	15	1	1
sale	2	1	1
assorto	3	0	0
straccioncelli	1	0	0
ridere	17	1	1
sghignazzare	1	0	0
riavere	3	1	0
inseguitore	1	0	0
calcagno	2	1	1
squadra	11	1	1
rieccoli	1	0	0
scacco	3	0	0
piolo	7	0	0
rastrello	1	1	1
diramare	2	0	0
aizzare	1	0	0
sparpagliare	1	0	0
svellere	2	0	0
disorientare	4	0	0
polpaccio	1	0	0
bastonata	2	0	0
pietrata	1	0	0
Scendi	1	0	0
salvandosi	1	0	0
Dormi	1	0	0
bastone	4	1	1
mulinare	5	0	0
petto	11	1	1
inchiodare	1	1	1
Ferma	1	0	0
Baroncino	2	0	0
costassù	2	0	0
mischiare	3	0	1
marmaglia	3	0	0
Giuà	3	0	0
Vasca	4	0	0
manente	1	0	0
ritirare	8	1	1
molti	5	0	0
inchinare	3	0	0
Fatelo	1	0	0
riaccompagnare	1	0	0
grazia	3	1	0
incomodare	1	0	0
riapparire	4	0	0
risparì	2	0	0
solamente	2	1	1
eccolo	3	0	0
distante	5	1	1
ondeggiare	5	1	1
svettare	2	0	0
selvatico	15	1	0
diavolo	2	1	1
canto	7	1	1
grido	5	1	1
solfeggiare	1	0	0
Sin-fo	2	0	0
ro-saaa	1	0	0
vLa	1	0	0
apprendere	4	1	1
personaggio	2	1	1
cavallino	11	0	0
nano	3	1	1
amicizia	6	1	1
straccione	1	1	0
proteggere	4	1	1
prepotente	1	1	1
comandare	9	1	1
sentiero	5	1	1
incustodito	1	0	0
accompagnare	5	1	1
assalto	5	1	1
ufficiale	32	1	1
costiero	1	0	0
donde	4	0	0
campagna	18	1	1
sospetto	7	1	1
padrone	7	1	1
contadino	8	1	1
suono	11	1	1
tradimento	2	1	1
commettere	1	1	1
danno	2	1	1
prediligere	2	0	0
Bel-Loré	6	0	0
canzonare	3	0	0
Ugasso	14	0	0
appunto	5	1	1
bastonatura	1	0	0
furto	3	1	1
beniamino	1	0	0
geloso	9	1	1
alleato	1	1	1
promettere	2	1	1
ripetuto	1	0	0
condire	1	1	0
olio	2	1	1
ricino	1	0	0
torcere	5	1	1
pancia	6	1	1
settimana	12	1	1
episodio	6	1	1
tipo	3	1	1
rottura	1	1	1
rimpianto	1	1	0
ascoltare	14	1	1
particolare	5	1	1
ricomporre	1	0	0
immagine	4	1	1
nota	3	1	1
conferma	1	1	1
sicuro	13	1	1
dintorno	5	0	1
smania	9	0	0
indeterminato	2	0	0
guidare	9	1	1
servizio	3	1	1
incitare	4	1	1
difendere	4	1	1
bravura	1	1	0
indirettamente	1	0	0
proposito	3	1	1
straccamente	1	0	0
malinconia	1	0	1
improvviso	10	1	1
svelto	6	1	1
gatto	39	1	1
chissacché	1	0	0
nervoso	7	1	1
muto	3	1	1
istinto	8	1	1
invasare	1	0	0
qualunque	1	1	1
indemoniato	1	0	0
esorcizzare	1	0	0
abbé	1	0	0
demonio	6	1	0
sacré	1	0	0
nom	2	0	0
de	20	0	0
Dieu	2	0	0
riscuotere	2	1	1
risvegliare	2	0	1
preciso	6	1	1
concatenazione	1	0	0
iniziare	4	1	1
teologico	1	0	0
complicato	6	0	1
rettamente	2	0	0
inteso	1	0	0
presenza	8	1	1
contraddire	3	1	0
relazione	2	1	1
reputare	4	0	0
escludere	5	1	1
priore	1	0	0
spazientire	1	0	0
ansietà	1	0	0
fluido	1	1	1
sovrastare	3	1	0
consolidato	1	0	0
pratico	5	1	1
ricerca	7	1	1
strumento	1	1	1
adatto	3	1	1
risolvere	5	1	1
scovare	2	1	0
cannocchiale	9	1	0
treppiede	1	0	0
applicare	2	1	1
terrazza	5	1	0
raggio	4	1	1
scorgere	7	1	1
cenno	3	1	1
altura	1	0	0
rispuntare	1	0	0
dato	1	1	1
altrove	3	0	1
sbagliato	1	0	1
esaminare	2	1	1
catastale	2	0	0
atteggiamento	6	1	1
pensoso	1	0	0
altra	18	0	0
geroglifico	1	0	0
carta	9	1	1
calcolare	1	1	1
angolazione	1	0	0
lentamente	8	0	1
trepido	1	0	0
sorriso	5	1	1
davvero	7	1	1
ella	13	0	0
colorare	2	1	1
accanto	2	1	1
sgabello	1	0	1
ritmare	1	0	0
messaggio	2	1	1
linguaggio	3	1	1
convenzionale	1	0	0
possedere	2	1	1
maneggiare	2	1	0
attrezzatura	1	1	1
gola	7	1	1
fazzoletto	6	1	1
appallottolare	3	0	0
generalessa	2	0	0
riposare	2	1	1
veste	3	1	1
anziché	1	1	1
semplice	6	1	1
impedire	3	1	1
straziare	1	1	0
donnina	1	0	0
delicato	1	1	1
difesa	3	1	1
stile	1	1	1
ereditare	3	1	1
banderuola	1	0	0
destino	2	1	1
consueto	2	0	1
affetto	2	1	1
pagare	7	1	1
saluti	2	0	0
scambiare	7	1	1
curioso	4	1	1
illusione	2	1	1
saluto	4	1	1
disporre	6	1	1
perpetuamente	1	0	0
novità	2	1	1
riguardare	1	1	1
almanaccare	1	0	0
tentare	5	1	1
darsene	1	0	0
soave	1	0	0
pappa	1	1	1
cucchiaino	1	0	0
schiaffo	2	1	1
mostruoso	2	1	0
poltiglia	2	0	0
smaniare	1	0	0
partecipe	1	0	0
impresa	7	1	1
pezzente	1	0	0
pauroso	1	1	1
diffidenza	2	1	1
solidale	3	0	0
entusiasmo	3	1	1
spola	5	0	0
abbaino	2	0	0
spaziare	1	0	0
gazzarra	1	0	0
affiorare	2	0	0
tastare	1	0	0
fa	2	0	1
scoiattolo	13	1	1
Grande	3	0	0
ammutolire	2	0	0
sorpresa	4	1	1
risentire	2	1	1
fiamma	9	1	1
rischiare	3	1	1
curva	1	1	1
briglia	4	0	0
criniera	2	0	1
frustino	5	0	0
dorato	1	1	1
catenina	1	0	0
susina	2	1	1
cicatrice	1	1	1
lembo	5	0	0
piare	4	0	0
costringere	4	1	1
vincere	6	1	1
desideroso	1	0	0
principiare	3	0	0
frase	8	1	1
cadenza	1	0	0
ritornare	13	1	1
compagna	1	1	0
sfrascar	1	0	0
ansare	2	0	0
appiattiti	1	0	0
sbottare	1	0	0
basare	1	1	1
tenacia	1	0	0
dichiarare	6	1	1
gloriare	1	0	0
fatuo	1	0	0
meschino	1	1	0
dette	1	0	0
voglia	11	1	1
pidocchioso	1	0	0
muggire	1	1	1
ululato	1	0	0
crepapancia	1	0	0
tale	11	1	1
soprassalto	3	0	0
rabbia	3	1	1
traditore	2	1	0
spaccare	1	1	1
precipitare	4	1	1
durante	6	1	1
soggiorno	4	1	1
senonché	2	0	0
impigliare	5	0	0
spanna	3	0	0
sangue	8	1	1
rossore	1	1	1
sbarrare	1	1	0
capovolgere	6	1	0
ululare	3	0	0
capriola	1	1	1
ricomparire	2	0	0
ribaltare	1	0	0
abisso	1	1	1
volante	1	1	0
impennare	1	0	0
guizzo	3	0	0
attaccare	5	1	1
ricondurre	2	1	0
dimenticare	7	1	1
istante	3	1	1
smarrimento	1	0	0
cupa	2	0	0
commentare	5	1	1
eccitazione	3	0	0
stranito	4	0	0
chiar	1	0	0
imitare	5	1	1
galoppare	9	1	0
corto	4	1	1
cieco	4	1	1
scartare	1	1	1
corsa	23	1	1
seminare	1	1	1
smussare	1	0	0
arrancare	2	0	0
galoppo	11	0	0
rifuggire	2	0	0
eccola	2	0	0
appigliare	1	0	0
linea	7	1	1
contorta	2	0	0
tresca	2	0	0
sella	17	1	0
fischiare	9	1	0
fischio	9	1	0
dileggio	2	0	0
allontanare	13	1	1
Porta	6	0	0
Capperi	5	0	0
rincorrere	6	1	0
delusione	2	1	1
notare	2	1	1
allegria	6	1	1
apposta	7	1	1
percepire	2	0	1
corteccia	6	1	1
allocco	1	0	0
violento	2	1	1
sassaiola	1	0	0
ghiaino	1	0	0
sassolino	1	0	0
obliquo	5	0	0
scatenato	1	0	0
ro-sa	1	0	0
schi-fosa	1	0	0
guarnire	2	0	0
cascata	6	1	1
cappero	1	1	1
catapecchia	3	0	0
gridìo	1	0	0
casupola	1	0	0
baracca	4	1	1
asse	1	1	1
carrozzone	1	0	0
zoppicante	1	0	0
tenda	5	1	1
assiepare	1	0	0
città	10	0	1
sciamare	1	0	0
carestia	1	1	0
miseria	2	1	1
espandere	3	0	0
bimbo	1	1	1
seno	4	1	1
fornello	3	1	1
fumoso	1	0	0
men2	1	0	0
dicare	1	0	0
sbendare	2	0	0
piaga	1	1	1
dado	2	1	1
rotti	1	0	0
compagno	8	1	1
frittura	1	0	0
alterco	2	0	0
manrovesci	1	0	0
azzuffare	1	0	0
polvere	7	1	1
straccio	3	1	1
invischiare	2	0	0
umano	15	1	1
sfaceva	1	0	0
denso	4	1	1
insulsaggine	1	0	0
apparizione	2	1	1
polverone	2	0	0
strillo	1	1	1
rotolio	1	0	0
sferragliare	1	0	0
sprizzare	1	0	0
scintilla	2	1	1
ciottolo	1	0	0
Un'	3	0	0
crestata	1	0	0
innalzare	1	1	0
rimboccare	1	1	0
carriera	3	1	1
spruzzo	1	0	0
salare	1	1	1
bagnare	4	1	1
scopo	2	1	1
programma	2	1	1
desiderio	8	1	1
possibilità	2	1	1
offrire	8	1	1
ricapitare	1	0	0
indaffarato	2	0	0
balzare	4	1	0
polemica	2	1	1
farci	1	0	0
governante	3	1	0
proboscidi	1	0	0
ammali	1	0	0
stella	4	1	1
rettile	1	1	1
bambù	2	0	0
trasparire	3	0	0
scorribanda	1	0	0
montare	7	1	1
libero	6	1	1
confidenza	2	1	1
inconcepibile	1	0	0
superiore	5	1	1
disdegno	1	0	0
