Lemmato	Occorrenze
fuoco	20
forcella	15
tiro	6
angolo	3
proiezione	1
competente	1
balistico	1
disposizione	5
biblioteca	3
Generale	4
trattato	4
arte	10
atlante	1
Von	4
Kurtewitz	4
Konradine	2
figlia	12
Konrad	1
von	2
vent'	1
occupare	3
comando	3
truppa	16
Maria	3
Teresa	2
d'	39
Orfana	1
portare	95
dietro	64
campo	14
niente	44
romanzesco	1
viaggiare	2
ben	31
equipaggiato	1
alloggiare	1
castello	6
migliore	7
stuolo	8
passare	107
tombolare	1
cavallo	51
tutte	14
leggenda	1
donnetta	1
pelle	15
rosato	1
naso	26
ce	28
le	31
rimanere	26
paterno	2
forse	53
protestare	1
marito	7
parte	64
schierare	2
imperiale	7
accogliere	5
braccio	43
aperto	21
feudo	5
meglio	24
dimostrare	6
dedizione	3
causa	5
sposare	15
speranza	12
Ducato	2
male	26
Imperiali	1
sloggiare	1
presto	28
Genovesi	1
caricare	11
tassa	5
però	23
guadagnare	1
bravo	18
chiamare	27
morire	21
spedizione	2
Provenza	3
mandare	22
collare	2
oro	8
damascare	2
egli	49
accordo	7
allevare	2
accampamento	3
sognare	5
esercito	9
rimproverare	2
maneggione	1
sfortunato	1
tutt'	26
artiglieria	6
testa	61
albero	255
genealogico	1
figliolo	2
grado	3
importare	13
quale	28
qualche	47
granduchessa	1
elettrice	1
impero	2
ottimo	30
talmente	3
distrarre	10
abbandonare	4
bene	54
comune	10
regolare	6
modesto	3
eppure	9
fanciullezza	2
trascorrere	7
insieme	47
indifferente	2
entrambi	8
rovello	2
adulto	2
cercare	103
diverso	30
battuta	6
gente	53
arrampicare	28
questi	12
primo	48
innocente	2
ricordo	14
iniziazione	1
presagio	2
risalire	9
torrente	10
saltare	48
scoglio	3
esplorare	6
caverne	2
riva	20
scivolare	9
balaustra	7
marmo	2
scalinata	2
scivolata	3
origine	1
ragione	19
urto	1
punire	2
ingiustamente	1
ritenere	1
covare	3
società	8
mondo	32
genere	5
esprimere	6
decisione	5
scala	28
vero	33
digià	2
diffidare	3
rompere	7
gamba	35
preoccupare	5
credere	36
nulla	47
crescere	13
aumentare	2
peso	8
buttare	32
giù	57
statua	5
antenato	3
porre	19
pilastrini	1
terminale	1
rampa	3
Difatti	4
crollare	2
trisavolo	1
vescovo	6
mitria	1
imparare	14
frenare	9
attimo	2
arrivare	69
pelo	22
sbattere	8
anch'	8
seguire	49
prudente	1
pezzettino	1
frenato	1
scendere	61
freccia	1
c'	153
salire	37
n'	20
zonzo	1
breviario	3
sguardo	19
fisso	1
gallina	3
stato	19
mezz'	5
addormentare	5
no	66
momento	47
estremo	2
attenzione	9
apprensione	4
sgridare	2
monelleria	1
sorvegliare	4
trattenere	11
travolgere	4
vecchiettino	1
osso	5
cozzare	3
raddoppiato	1
slancio	8
Cacciaguerra	1
crociato	2
Terrasanta	1
diroccare	1
piè	4
frantumare	2
gesso	1
ramanzina	1
frustare	2
reclusione	1
pane	3
minestrone	4
freddo	11
sentire	97
colpa	5
uscire	41
invettiva	1
feroce	6
infischiare	4
vostro	24
signore	22
annunciare	3
ribelle	4
isolamento	1
storia	23
Marchesino	3
Mela	3
solitario	5
figlio	31
ostile	1
intrufolare	5
sedurre	1
anzi	26
violentare	1
lite	8
bietolone	1
lentigginoso	1
immaginare	11
seduttore	1
meno	16
famoso	4
ferro	6
