Lemmato	Occorrenze
rovere	1
allungare	5
inseguire	9
aggirare	2
guado	1
monello	11
cristiano	2
saltimpalo	1
vedendoselo	1
Ehi	10
dabbasso	1
pigliare	7
branco	7
assaltare	2
lavorare	5
metodo	1
intrecciare	3
picciòli	1
arroganti	1
candito	1
sbuffo	2
macchiare	1
panciotto	2
mangiagelati	5
sbaglio	2
Sinforosa	10
misterioso	6
arrossire	3
suonare	6
stamane	2
altolocato	1
sparare	15
sale	2
assorto	3
straccioncelli	1
ridere	17
sghignazzare	1
riavere	3
inseguitore	1
calcagno	2
squadra	11
rieccoli	1
scacco	3
piolo	7
rastrello	1
diramare	2
aizzare	1
sparpagliare	1
svellere	2
disorientare	4
polpaccio	1
bastonata	2
pietrata	1
Scendi	1
salvandosi	1
Dormi	1
bastone	4
mulinare	5
petto	11
inchiodare	1
Ferma	1
Baroncino	2
costassù	2
mischiare	3
marmaglia	3
Giuà	3
Vasca	4
manente	1
ritirare	8
molti	5
inchinare	3
Fatelo	1
riaccompagnare	1
grazia	3
incomodare	1
riapparire	4
risparì	2
solamente	2
eccolo	3
distante	5
ondeggiare	5
svettare	2
selvatico	15
diavolo	2
canto	7
grido	5
solfeggiare	1
Sin-fo	2
ro-saaa	1
vLa	1
apprendere	4
personaggio	2
cavallino	11
nano	3
amicizia	6
straccione	1
proteggere	4
prepotente	1
comandare	9
sentiero	5
incustodito	1
accompagnare	5
assalto	5
ufficiale	32
costiero	1
donde	4
campagna	18
sospetto	7
padrone	7
contadino	8
suono	11
tradimento	2
commettere	1
danno	2
prediligere	2
Bel-Loré	6
canzonare	3
Ugasso	14
appunto	5
bastonatura	1
furto	3
beniamino	1
geloso	9
alleato	1
promettere	2
ripetuto	1
condire	1
olio	2
ricino	1
torcere	5
pancia	6
settimana	12
episodio	6
tipo	3
rottura	1
rimpianto	1
ascoltare	14
particolare	5
ricomporre	1
immagine	4
nota	3
conferma	1
sicuro	13
dintorno	5
smania	9
indeterminato	2
guidare	9
servizio	3
incitare	4
difendere	4
bravura	1
indirettamente	1
proposito	3
straccamente	1
malinconia	1
improvviso	10
svelto	6
gatto	39
chissacché	1
nervoso	7
muto	3
istinto	8
invasare	1
qualunque	1
indemoniato	1
esorcizzare	1
abbé	1
demonio	6
sacré	1
nom	2
de	20
Dieu	2
riscuotere	2
risvegliare	2
preciso	6
concatenazione	1
iniziare	4
teologico	1
complicato	6
rettamente	2
inteso	1
presenza	8
contraddire	3
relazione	2
reputare	4
escludere	5
priore	1
spazientire	1
ansietà	1
fluido	1
sovrastare	3
consolidato	1
pratico	5
ricerca	7
strumento	1
adatto	3
risolvere	5
scovare	2
cannocchiale	9
treppiede	1
applicare	2
terrazza	5
raggio	4
scorgere	7
cenno	3
altura	1
rispuntare	1
dato	1
altrove	3
sbagliato	1
esaminare	2
catastale	2
atteggiamento	6
pensoso	1
altra	18
geroglifico	1
carta	9
calcolare	1
angolazione	1
lentamente	8
trepido	1
sorriso	5
davvero	7
ella	13
colorare	2
accanto	2
sgabello	1
ritmare	1
messaggio	2
linguaggio	3
convenzionale	1
possedere	2
maneggiare	2
attrezzatura	1
gola	7
fazzoletto	6
appallottolare	3
generalessa	2
riposare	2
veste	3
anziché	1
semplice	6
impedire	3
straziare	1
donnina	1
delicato	1
difesa	3
stile	1
ereditare	3
banderuola	1
destino	2
consueto	2
affetto	2
pagare	7
saluti	2
scambiare	7
curioso	4
illusione	2
saluto	4
disporre	6
perpetuamente	1
novità	2
riguardare	1
almanaccare	1
tentare	5
darsene	2
soave	1
pappa	1
cucchiaino	1
schiaffo	2
mostruoso	2
poltiglia	2
smaniare	1
partecipe	1
impresa	7
pezzente	1
pauroso	1
diffidenza	2
solidale	3
entusiasmo	3
spola	5
abbaino	2
spaziare	1
gazzarra	1
affiorare	2
tastare	1
fa	2
scoiattolo	13
Grande	3
ammutolire	2
sorpresa	4
risentire	2
fiamma	9
rischiare	3
curva	1
briglia	4
criniera	2
frustino	5
dorato	1
catenina	1
susina	2
cicatrice	1
lembo	5
piare	4
costringere	4
vincere	6
desideroso	1
principiare	3
frase	8
cadenza	1
ritornare	13
compagna	1
sfrascar	1
ansare	2
appiattiti	1
sbottare	1
basare	1
tenacia	1
dichiarare	6
gloriare	1
fatuo	1
meschino	1
dette	1
voglia	11
pidocchioso	1
muggire	1
ululato	1
crepapancia	1
tale	11
soprassalto	3
rabbia	3
traditore	2
spaccare	1
precipitare	4
durante	6
soggiorno	4
senonché	2
impigliare	5
spanna	3
sangue	8
rossore	1
sbarrare	1
capovolgere	6
ululare	3
capriola	1
ricomparire	2
ribaltare	1
abisso	1
volante	1
impennare	1
guizzo	3
attaccare	5
ricondurre	2
dimenticare	7
istante	3
smarrimento	1
cupa	2
commentare	5
eccitazione	3
stranito	4
chiar	1
imitare	5
galoppare	9
corto	4
cieco	4
scartare	1
corsa	23
seminare	1
smussare	1
arrancare	2
galoppo	11
rifuggire	2
eccola	2
appigliare	1
linea	7
contorta	2
tresca	2
sella	17
fischiare	9
fischio	9
dileggio	2
allontanare	13
Porta	6
Capperi	5
rincorrere	6
delusione	2
notare	2
allegria	6
apposta	7
percepire	2
corteccia	6
allocco	1
violento	2
sassaiola	1
ghiaino	1
sassolino	1
obliquo	5
scatenato	1
ro-sa	1
schi-fosa	1
guarnire	2
cascata	6
cappero	1
catapecchia	3
gridìo	1
casupola	1
baracca	4
asse	1
carrozzone	1
zoppicante	1
tenda	5
assiepare	1
città	10
sciamare	1
carestia	1
miseria	2
espandere	3
bimbo	1
seno	4
fornello	3
fumoso	1
men2	1
dicare	1
sbendare	2
piaga	1
dado	2
rotti	1
compagno	8
frittura	1
alterco	2
manrovesci	1
azzuffare	1
polvere	7
straccio	3
invischiare	2
umano	15
sfaceva	1
denso	4
insulsaggine	1
apparizione	2
polverone	2
strillo	1
rotolio	1
sferragliare	1
sprizzare	1
scintilla	2
ciottolo	1
Un'	3
crestata	1
innalzare	1
rimboccare	1
carriera	3
spruzzo	1
salare	1
bagnare	4
scopo	2
programma	2
desiderio	8
possibilità	2
offrire	8
ricapitare	1
indaffarato	2
balzare	4
polemica	2
farci	1
governante	3
proboscidi	1
ammali	1
stella	4
rettile	1
bambù	2
trasparire	3
scorribanda	1
montare	7
libero	6
confidenza	2
inconcepibile	1
superiore	5
disdegno	1
amarezza	2
avversione	4
ospitare	1
incoraggiare	2
catturare	4
sottolineare	1
intenzione	7
aggressivo	1
presentare	15
restituire	2
ingiustificato	2
rapporto	15
dignitoso	1
nobiluomo	1
servitore	5
armato	6
fez	10
farfugliare	3
scusa	1
famiglio	3
potatura	3
Cavaliere	28
Acchiappiam	1
acchiappiam	1
sghembo	2
primogenito	3
rampollo	1
India	6
pei	1
vialetto	2
cerchio	4
manovrare	1
cin3	1
que	11
rovinare	2
aiuola	1
vice	1
condotta	3
dentro	19
assistere	4
trambusto	2
spazioso	1
caro	6
solennemente	1
gradinata	1
vestaglia	1
papalino	2
stranamente	1
circolare	3
baroncino	1
trotterellare	5
vasca	4
zampillo	2
rosetta	1
annaffiare	1
imprevedibile	3
infido	2
indole	2
incarico	2
ciarlare	1
amichevolmente	1
ingraziarselo	1
qualità	1
conversatore	1
affidamento	1
ritroso	2
domanda	12
uguale	7
palandrana	1
pressapoco	3
indisturbato	1
tendina	3
scoperse	4
gettare	20
bacca	1
impannata	1
aperse	2
recludere	1
disperato	6
superficie	1
terrestre	1
sostegno	2
irregolare	4
avvenire	7
scatto	4
precario	1
zig-zag	2
volgere	4
faggio	9
ansante	4
distendere	2
cangiare	1
sfumatura	1
impalpabile	3
piuma	5
sfera	1
soffioni	1
isolato	3
irraggiungibile	3
pigne	2
oblunghe	1
rampichini	1
marrone	2
picchiettare	1
ago	4
posizione	4
becco	2
bruchi	2
pinoli	4
elemento	2
difficilmente	2
possedibile	1
malsoddisfatto	1
penetrazione	1
scagliare	3
cacciatore	12
vivo	7
fucile	31
accanendosi	1
esplorazione	2
impraticabile	1
colpo	23
problema	6
fissare	6
scostare	5
sospiro	6
sollievo	3
timore	2
nitido	1
tremante	2
spaventoso	2
soriano	2
baffo	5
aculei	1
istrice	2
soffio	3
doppio	3
affilare	1
uncino	2
aguzzi	1
tensione	4
guernite	1
falsamente	1
tenue	1
peluria	1
gonfiare	5
rattratto	2
dipartire	1
fremere	1
fianco	4
posa	1
innaturale	1
insostenibile	1
esagerare	1
mascherare	4
lancinante	2
unghielli	2
pronto	16
iridare	1
gialla	1
ruotare	1
pupilla	1
bofonchiare	1
cupo	5
intenso	2
tacere	5
cinguettio	1
Saltò	1
verticale	1
spavento	1
felino	2
teso	7
inarcare	1
dorso	1
fff	3
perfetto	3
ragionare	4
Fff	1
Sotto	1
preferibile	1
piuttosto	1
emettere	2
straziante	1
gnaulìo	1
scontrare	3
salvo	4
arruffìo	1
scemo	1
facilmente	2
artigliare	1
guancia	4
serrare	2
riverso	3
sbalestrare	2
vittoria	4
avventare	3
a-fondo	2
infilare	3
gnaulante	1
lordo	2
stecchito	3
spiedo	5
triplice	1
unghiata	1
dolore	10
cadavere	2
strazio	1
impegnare	3
scampo	2
fallire	1
insanguinare	2
disfare	2
sformare	1
corso	5
terrazzo	1
ferire	8
Was	1
pertinente	1
definizione	1
colcannocchiale	1
Das	1
stimmt	1
garza	1
cerotto	2
balsamo	1
rifornire	1
ambulanza	1
battaglione	2
portassi	1
dovendosi	1
medicare	3
pacco	4
benda	4
trionfante	2
uccidere	6
spiazzo	3
bagaglio	5
severo	3
Marchesa	30
sanguinante	1
pazzo	1
moto	3
raccapriccio	2
nouveau	1
ici	4
Et	2
arrangé	1
facon	1
parente	4
scandire	2
collegio	1
degnare	1
sportello	2
serpere	1
partenza	4
dedicare	5
cruento	1
frusto	1
schiocco	3
sventolio	1
addio	4
graffio	2
gloria	8
disperazione	2
separazione	2
ingorgare	1
dirompere	1
pianto	3
urlo	4
stridere	2
rametto	4
strappato	1
Hors	3
Polisson	1
sauvage	2
notre	2
jardin	1
inveire	2
accorrere	5
faccia	11
singhiozzare	1
raccattare	2
letamaio	2
partita	3
collegare	4
lenza	3
ripescare	1
ulivo	6
morto	4
scuoiare	1
conciare	2
berretto	15
tentativo	3
iniziativa	3
naturalmente	2
consultare	2
nottetempo	2
caldaia	1
vischio	4
appiccicare	2
cardellini	2
scriccioli	2
avviluppare	1
farfalla	8
falda	1
probabilmente	3
laidamente	1
imbrattare	2
seccare	1
convincere	5
temere	7
dignità	1
ducale	4
compromettere	1
pallido	5
scavare	5
volto	5
conseguenza	4
dinastico	2
erede	5
francolino	1
fanciullo	1
controverso	1
inutile	3
intendere	8
velleità	1
Ombrosotti	14
ameno	1
privato	4
cittadino	16
ducato	2
tributario	1
Repubblica	5
Genova	7
comprare	2
Comune	1
debito	2
nobiliare	1
visita	7
costare	2
vantaggio	5
Corte	2
impiccio	1
impegno	1
spesa	4
capitale	4
politica	4
sovrano	1
spodestare	1
vicinato	2
straniero	4
frequentare	7
risparmiare	1
penuria	1
finanza	1
popolo	8
gretto	1
negozio	2
vendere	3
li4	1
moni	1
usanza	4
limonata	1
zuccherato	1
diffondere	2
classe	2
ricco	5
limone	3
riattare	3
incursione	1
pirata	32
repubblica	7
possesso	5
Sardegna	1
Regno	1
vescovile	2
trafficare	3
tributo	2
sudare	1
data	1
esazione	1
tumulto	2
esattore	5
gragnuola	2
marcio	1
tessere	1
congiura	3
gesuita	13
mortale	1
tramare	1
screzio	1
conteso	1
Gesù	2
sorgere	3
Padre	9
provinciale	1
Diocesi	1
agente	1
attentare	1
milizia	3
fedele	2
Vescovo	1
prigioniero	4
asilo	1
protezione	1
perseguitare	1
spirituale	2
fidare	3
debole	2
disgraziato	2
considerare	6
cinquantenne	1
traverso	1
fìngevano	1
rispetto	3
soffrire	9
apparenza	2
sottomettere	3
odiare	1
sordomuto	1
Turchi	2
intelletto	1
calcolo	3
capace	4
lode	1
esagerato	2
passato	9
gioventù	5
nonno	2
affezionare	2
attribuire	3
Turchia	3
soggiornare	2
barbaresco	4
Tunisi	2
Algeri	2
maomettano	2
Tante	2
importante	3
dignitario	2
Sultano	2
Idraulico	1
Divano	1
palazzo	8
disgrazia	2
remare	5
galera	2
ottomano	2
prigioniera	1
Veneziani	1
Venezia	2
accattone	2
rissa	1
rissare	1
schivo	2
ceppo	1
riscattare	2
tramite	2
ufficio	3
ricapitò	1
omino	3
calvo	2
barba	12
mutolo	1
scena	4
imprimere	2
infagottare	2
panno	4
suoi	2
autorità	6
destinare	2
studio	13
riempiere	5
disordine	1
gabinetto	1
borghese	1
foggia	1
tollerare	2
compito	3
castaldi	2
manenti	1
timido	3
favellare	1
cura	4
affare	6
disegno	4
impianto	1
irrigazione	1
cifra	1
lavagna	1
scrittura	1
sosta	3
adirare	2
accenti	2
ondoso	1
diverbio	1
passetto	1
cocuzzolo	3
porta-finestra	1
fratellastro	4
procedere	5
ostinare	1
allargare	8
ingobbire	1
pugno	6
sfida	2
mira	3
destrezza	1
saggiare	1
sfidare	1
piastrella	2
spoglio	1
curvo	1
mantello	7
disperso	1
soglia	3
cavalcare	2
spogli	2
obbedienza	1
logico	1
sensato	1
spettacolo	1
amaramente	1
degno	4
gentiluomo	3
rimprovero	1
lontananza	4
distacco	2
comportare	2
sentenza	2
gravemente	2
quantunque	1
fittavolo	2
castagna	5
alterare	2
cinico	1
mesto	1
comunella	1
bastardo	2
pacato	1
duole	1
devozione	1
Intendete	1
selvaggio	2
insegnamento	1
risposta	7
abile	1
sminuire	2
portata	4
debolezza	2
dunque	26
stringente	1
ritorno	5
massimo	4
latina	1
solenne	1
pisciare	2
netto	4
gridio	1
scarto	1
redine	2
indicare	11
rapidamente	4
Attento	1
spronare	3
pioggia	8
atteso	1
rada	4
goccia	2
Ciêuve	2
alga	2
pe	1
êuve	1
abbrancare	1
grondare	2
doccia	1
piovere	7
zuppo	2
acquate	1
temporale	1
inconveniente	2
fangoso	1
immune	2
riparare	5
attendamenti	1
Avrà	1
ombrello	7
osservazione	1
campale	1
ributtare	3
Ja	1
ganz	1
gewiss	1
bottiglia	3
sciroppo	3
calza	3
lana	3
incerare	1
trasudare	1
umidità	2
paracqua	2
scivoloso	1
pozzanghera	1
inclinare	3
lavare	11
demanio	2
ingrossare	3
rifugio	7
avvoltolata	1
chiarore	3
Cosimooo	1
Biagiooo	1
bagno	4
imbacuccare	1
sin	2
salice	1
attraverso	6
intrico	1
ramificazione	1
impossibile	2
lanterna	11
tappeto	2
piancito	1
asso	1
poggiare	1
reggia	1
accorgersi	2
quant'	2
instabile	2
falla	1
cedimento	1
coprire	2
colare	2
bagnati	1
ammassare	1
quantità	3
coperta	2
seppellire	3
incerto	7
guizzare	2
costruzione	1
intricato	2
bere	5
Puah	2
provvisorio	2
affrettare	5
venirci	1
qualcun	2
Dev'	1
stuoia	2
accavallare	2
coricare	2
fidanzare	5
indomani	6
semplicemente	2
bruscamente	2
mosca	1
Abbé	4
tradurre	2
Virgilio	1
imbarazzo	1
facilitare	1
latino	5
sgabelletto	1
coro	3
esametri	1
perdetti	1
esili	1
issare	3
aiutare	9
compitare	2
chini	1
allievo	3
allocchito	1
prete	5
Au	2
secours	2
calmare	1
discendere	3
accostare	2
zappare	2
letame	1
cortese	2
cucù	1
varcare	2
raccapezzare	3
salutare	7
cavare	9
vociare	2
abitudine	8
apprezzare	3
brutto	12
ingrassare	1
semina	1
ritrosia	1
villico	1
solco	1
storto	1
pomodoro	1
commissione	2
moglie	5
falciatore	1
cote	1
fiducia	1
frumento	1
passeri	3
strepito	1
raro	4
girovago	2
accampare	2
carbonai	12
calderai	3
vetrai	1
buscare	1
mestiere	6
piazzare	1
laboratorio	2
capannucce	1
Dapprincipio	2
giovinetto	1
spirito	3
folletto	1
narrare	5
cenerina	1
numeroso	1
Hura	3
Hota	4
bergamasco	2
corporazione	2
legame	1
gruppo	1
notizia	17
incaricare	1
M'	1
Rovere	1
Rossa	1
Hanfa	1
Hapa	1
‘	2
Hoc	1
Rispondigli	1
Hegn	1
Hobet	1
Ho	1
Hot	1
aspirare	3
zirlare	3
Conti	2
Estomac	6
diretti	1
baia	2
Tolone	1
interesse	9
rivendicare	1
confermare	2
curia	1
assenso	2
figurare	5
progetto	10
salamelecchi	1
zerbinotto	1
cacastecchi	1
imparruccare	2
Poverina	1
pio	2
scema	1
gale	3
guanto	3
Bisognava	2
giovanotto	5
garzone	1
villano	1
Contino	5
inchini	1
risatina	1
isterico	1
croce	2
cervello	1
Conte	15
mostra	1
maschio	2
Monsieur	6
maggiore	1
combinazione	1
mentito	1
tordo	8
trascurare	1
selvaggina	6
privo	1
pazienza	2
circostante	2
interloquire	3
vietare	1
piccino	1
abbattere	3
gliele	1
interrompere	6
conversazione	4
estate	8
pel	8
tracollare	6
ehi	1
divertire	3
direzione	9
assicurare	5
arsenale	2
eh	15
sforzo	2
malafede	1
inchino	4
Riverisco	1
scimunito	1
original	2
ça	2
très	2
pulire	2
ungere	2
grasso	1
flanella	1
Principessa	1
schiattare	1
trafelato	4
singhiozzo	5
impensierire	1
spiacevole	1
lucertola	4
riscappò	1
serata	3
dissimile	2
partecipare	2
straforo	1
Europa	7
Vergogna	1
immotivato	2
tant'	2
favorevole	3
xGli	1
comoda	1
piana	2
paziente	1
fermarcisi	1
varietà	1
padiglione	12
nervatura	1
frutto	7
lattice	1
gemere	3
peduncoli	2
impregnare	2
umore	1
gommoso	1
ronzio	3
calabrone	1
sorbo	1
mora	1
peccato	4
noci	4
sterminato	2
innumerevole	2
certezza	2
persino	1
ondulate	1
elci	1
trattare	5
suggestione	2
ricercato	1
amare	22
screpolare	1
sovrappensiero	2
quadrelli	1
fatica	2
rifare	1
desquamava	1
strato	1
muffire	1
bugnare	1
bitorzoli	1
ricacciare	2
getto	2
ciuffì	1
cartaceo	1
samare	1
muovercisi	1
esile	2
varco	3
preferire	10
impalcare	1
spazio	2
appiglio	3
spinoso	3
riccio	5
par	2
distinzione	1
ricurvo	2
ruga	1
irruvidire	1
scorze	2
variare	2
seconda	1
velario	1
tremanti	1
scuotersi	1
vela	9
incurvare	1
appiattiva	1
sproporzionato	1
stipare	2
cellula	1
interno	2
chiazza	1
tramontare	1
brivido	1
ricantucciano	1
bruco	2
schiudere	2
uovo	2
comporre	4
cavo	3
pulviscolo	1
gracchiare	2
squittio	1
zampettio	1
cicala	1
sceverare	1
bioccolo	1
stame	1
rivelare	7
rana	3
gracidio	1
sfondo	2
mutare	2
flusso	1
ammicco	1
scorrere	1
profondo	4
murmure	1
inverno	11
giubbotto	2
pelliccia	2
cucire	1
volpe	14
martore	1
furetto	1
capra	3
cuoio	2
pantofola	1
paio	5
tasso	2
mite	3
stanare	4
Russia	3
sistema	10
otre	4
capanna	3
insolito	2
traversare	2
sgranare	3
Dicevano	1
luminoso	2
gufo	3
ghiandaia	1
stirare	3
sbadigliare	2
busto	3
fiaschetta	1
arcuare	2
storta	1
sgranchire	1
scrollare	5
grattare	3
sveglio	2
incominciare	5
fontana	3
pensile	5
inventare	8
natura	13
rivo	1
strapiombo	2
pioppo	2
grondaia	1
sapone	6
ticchio	1
bucato	1
tinozza	1
pigna	3
acciarino	2
predisporre	2
focolare	2
fascina	2
paletta	1
molla	1
richiedere	2
provocare	4
incendio	21
cambio	3
ortaggio	1
campare	2
latta	1
palmo	3
secchio	3
mungere	1
padovano	1
averci	2
comprendere	9
Merdanzo	3
ontano	3
propizio	1
appartare	2
comodamente	1
viciniori	1
scolare	1
civilmente	2
rispettare	2
decoro	2
prossimo	4
necessario	4
complemento	1
fratto	1
cespuglio	6
beccaccino	1
quaglia	1
incon7	1
trando	1
sparo	4
brughi	3
In	1
impronta	2
recuperare	2
rigogolo	1
arnese	5
pesca	3
spago	4
beccaccia	2
formica	1
roveto	1
finora	3
riporto	2
mattina	2
nottata	1
attendere	13
vetta	5
pista	2
latrato	2
segugio	9
casuale	2
rispettoso	3
norma	2
infallibile	2
altrui	6
Uauauaaa	1
odore	3
narice	2
svoltare	2
uggiolio	1
Uì	1
uì	1
fendere	1
pesce	5
delfino	1
nuotare	2
aguzzo	2
sguazzare	1
pinna	1
palmipede	1
bassotto	32
certamente	5
unire	5
Buaf	1
compatto	2
rete	1
nasale	1
radura	3
gerbida	1
impazienza	1
approfittare	3
pisciatina	1
trotto	2
ingiustificatamente	2
trionfale	2
uggiolii	1
furbizia	1
Uài	2
Aurrrch	1
ringhiare	1
odor	3
Ggghrr	1
disinteressarsene	1
scodinzolare	6
sbandato	1
rotto	2
sospingere	1
annusare	2
sfascìo	1
Auauauaaa	1
Iaì	2
iaì	4
sfinire	1
greve	2
archibugio	1
insistè	2
santo	1
Ottimo	8
Massimo	39
giovanile	3
rasente	1
fosso	1
cammino	3
inconsueto	1
persiana	2
sprangate	1
invasi	1
sterpose	1
trasloco	2
incidere	1
scrivere	23
Cane	2
innanzi	1
appresso	2
starna	1
carezza	2
festa	14
dialogo	4
intelligenza	1
monosillabo	1
adolescenza	1
anguilla	1
trota	1
stagno	1
vestiario	1
corrispondere	3
mutamento	3
totale	1
contatto	1
affisato	1
penna	6
gamma	1
corrente	5
vena	2
forma	9
fusto	3
branchia	1
profondamente	1
modellare	1
sembianza	2
assorbire	1
comunanza	1
lotta	3
rado	2
seguirci	1
Messa	2
domenica	2
indrappellata	1
cerimonia	1
riesumare	1
avviare	5
incedere	2
sagrato	1
diminuire	2
compassato	1
cattedrale	1
banco	3
appostare	6
navata	1
vetrata	3
frammezzare	1
chino	1
sagrestano	1
primavera	6
nobiltà	5
ballare	2
ebbene	6
festevolezza	1
struggimento	1
assente	1
piroetta	1
irriconoscibile	1
monacale	2
marzapane	1
grand	1
panier	1
corallo	1
sarta	1
scommettere	1
almeno	5
breve	7
membro	5
essa	3
svanito	1
sfuggente	1
numero	5
occupazione	2
sciabattanti	1
crepa	1
ricorrere	2
paraggio	3
ape	25
rintracciare	1
fiorita	1
sparso	3
ronzare	1
secondario	3
invisibile	1
aereo	4
andirivieni	2
arnia	8
intento	1
esse	2
brulichio	3
apicoltura	4
attività	3
favo	1
stillante	1
svolgere	5
ambito	1
evidentemente	1
cautela	2
sottrarre	1
provento	1
industria	1
paiolo	4
amministrazione	3
poiché	3
avaro	1
cera	2
mescolare	4
permettere	11
imbattere	2
assurdo	2
ficcare	1
aquila	2
adombrare	2
conficcare	1
pungiglione	1
cranio	2
premere	1
pezzuole	1
bagnate	1
aceto	1
siffatto	2
graffietto	1
foruncolino	1
sminuzzare	1
allevamento	2
alveare	4
compenso	1
zampettare	1
talvolta	7
calzare	2
turbante	7
spandere	1
insetto	2
suscitare	3
cancellare	2
rinascere	1
mago	1
succhiare	1
polpastrello	1
impazzire	1
vibrare	1
boato	2
grandine	2
orizzontale	1
colonna	3
moltitudine	1
struggente	1
sciamano	1
fungo	6
sciame	5
regina	2
padella	2
deng	2
rintronare	1
timpano	1
vibrazione	1
fastidioso	2
turare	1
Percuotendo	1
rame	1
clangore	1
scuotimento	1
menare	3
arrivo	4
melograno	4
dapprincipio	2
scorso	2
grappolo	10
zampette	1
cartilagine	1
frusciare	2
diafano	1
grigio	1
addomi	1
saltellare	2
scossa	2
migliaio	1
tappare	2
intesa	2
collaborazione	1
termine	4
eccessivo	1
socievole	1
pozzo	4
canale	6
escogitare	1
ligustro	2
spiare	3
conduttura	3
riporre	5
sua	1
euforia	1
sbucare	2
balzo	7
spruzzare	1
imboccare	1
precipizio	1
ordinario	1
dialetto	4
modestia	1
ignoranza	1
direttamente	1
accorgersene	2
acquedotto	2
sostenuto	1
gerbido	1
irrigare	2
perfezionamento	1
secondare	2
suggerire	1
bucherellare	1
visibilio	1
rintanare	3
foglio	6
importanza	1
insospettato	1
appuntamento	2
triangolo	1
ingombro	1
rotolo	1
sviluppo	1
fase	1
stancare	4
diradare	2
colloquio	2
completare	1
essersene	1
complicazione	1
ingegno	4
realizzare	1
incanalare	1
risucchiare	1
poroso	1
fiorire	6
canalizzazione	1
subire	3
chiunque	1
commissionare	2
irresoluto	1
disamorava	1
pala	7
zappa	2
arrotolare	1
maniera	2
rimettere	6
misura	1
aspirazione	1
impulso	3
desideri	1
veramente	7
Barberia	2
comparare	3
identificare	1
concentrare	1
deluso	1
rabdomanzia	1
pregiudizio	2
stregoneria	1
pi9	1
roette	1
verga	1
forcuta	1
giovare	2
avvertimento	1
somigliare	2
Rincorreteli	1
provenire	1
casolare	1
famigliola	1
Ahinoi	1
ahinoi	1
raccolto	2
affollare	5
maschera	1
pistola	4
viandante	2
derubare	1
borsa	3
rapina	6
barbuto	4
spianare	2
Inseguiamolo	1
bandito	2
stanotte	4
spalancare	2
vergognare	1
Mah	3
nascondiglio	1
taglia	2
acchiappare	5
conte	2
giustizia	6
delitto	3
imputazione	1
scolpare	1
impiccare	3
undicesimo	1
capobanda	2
bandire	11
rifugiare	4
losco	2
ambulante	1
impagliatori	1
seggiola	1
stracciari	1
ripostiglio	1
refurtiva	3
Sapete	1
mah	3
Be'	8
grilli	1
Ditemi	2
schiappino	2
ammazzare	2
dubitare	2
mica	4
coraggio	1
tramutare	1
dubbioso	1
apertamente	1
derisorio	1
curiosità	2
fringuello	3
Gil	3
Blas	3
Lesage	2
pretesto	2
malmesso	1
disarmare	2
sbirro	17
Fermatelo	1
impacciare	1
sbagliare	2
trappola	2
arrampicarcisi	1
diffìcili	1
incertezza	4
impulsivo	2
azzeccare	1
bivio	1
Bondì	1
Signoria	7
grazie	4
ispido	2
secca	6
squadrare	1
smarrito	1
affabile	1
cortesia	1
contento	6
sconoscere	1
ventina	2
prestare	4
Sa	1
giubba	5
Scosse	1
be'	1
caspita	1
malgrado	3
protettivo	1
francese	15
Francese	1
toscano	1
provenzale	1
castigliano	1
catalano	1
Bon	1
Bona	1
nit	1
Està	1
mar	1
mòlt	1
alborotada	1
prestito	2
lettura	11
ridare	4
spelacchiare	1
rilegatura	1
macchia	8
convegno	10
operazione	2
pericoloso	3
giustificare	2
criminale	1
tal	5
divorare	3
romanzo	9
tomo	4
pubblico	3
pressare	1
fornitore	1
mercante	2
ebreo	1
Orbecche	5
bussare	2
volume	5
gusto	4
farselo	1
età	5
sostanzioso	1
avventura	3
Telemaco	1
segare	1
esigente	1
trama	1
romanzetto	1
brigare	2
furioso	2
donnicciola	1
costola	1
svago	1
oretta	1
principale	1
giudicare	3
crescente	1
lettera	13
scibile	1
Richardson	3
pila	2
Plutarco	1
sdraiare	3
giaciglio	3
corrugare	1
arrossare	1
mandibola	1
umido	2
latente	1
struggere	3
abitudinario	1
casalingo	1
virtù	6
malvagio	1
vizioso	1
interessare	3
tana	3
isolare	1
tempesta	1
complice	1
fidato	1
inattivo	1
sbirraglia	1
furterelli	1
abituale	6
stagnatori	1
esperienza	3
scudo	2
smaltire	2
rivendere	1
bazzicare	1
compire	2
insaputa	2
aggredito	1
terrore	3
malvivente	2
cordone	1
rendita	2
imminchionito	1
ispirare	2
reverenza	2
utile	6
luccicone	1
guardina	1
rassegnare	1
riabilitare	1
caverna	1
proporre	4
Mmm	1
Costanzo	1
gabelliere	8
maledetto	1
stacciare	2
ambo	1
stringerselo	1
tuffare	2
ragnatela	6
ragno	6
sciagurato	2
rammollire	1
groviglio	1
filamento	1
appiccicoso	1
gridolino	2
strabuzzare	1
sputacchiare	1
Ridammi	1
Clarissa	8
Ridatemelo	1
culminante	1
Sta'	2
stasera	3
legna	4
lottare	1
gabella	1
forziere	1
stomaco	2
amaro	2
denaro	1
tristemente	2
Aaah	1
bruciare	4
Andrò	1
promettetemi	1
BelLoré	1
scalciare	3
grugnire	2
pentirsi	1
calmo	3
travestito	1
legnaioli	1
discosto	1
ridicolo	1
chiave	1
Ridatemi	1
sette	1
immobilizzare	1
caviglia	2
condurre	7
torretta	1
pinastri	2
dappresso	2
cella	1
inferriata	2
